Genero	Filo
Gulbenkiania	Proteobacteria
Haemophilus	Proteobacteria
Helcococcus	Firmicutes
Helicobacter	Proteobacteria
Hespellia	Firmicutes
Histophilus	Proteobacteria
Holdemanella	Firmicutes
Holdemania	Firmicutes
Hungatella	Firmicutes
Intestinibacter	Proteobacteria
Intestinimonas	Proteobacteria
Johnsonella	Firmicutes
Kallipyga	Firmicutes
Kingella	Proteobacteria
Klebsiella	Proteobacteria
Lachnoanaerobaculum	Firmicutes
Lachnoclostridium	Firmicutes
Lachnospira	Firmicutes
Lactobacillus	Firmicutes
Lactonifactor	Firmicutes
Lagierella	Proteobacteria
Lautropia	Proteobacteria
Lawsonella	Actinobacteria
Leclercia	Proteobacteria
Lelliottia	Proteobacteria
Leptotrichia	Fusobacteria
Levyella	Firmicutes
Libanicoccus	Actinobacteria
Mageeibacillus	Firmicutes
Mannheimia	Proteobacteria
Marvinbryantia	Firmicutes
Massilioclostridium	Firmicutes
Mediterranea	Proteobacteria
Megasphaera	Firmicutes
Merdibacter	Firmicutes
Mitsuokella	Firmicutes
Mobiluncus	Actinobacteria
Mogibacterium	Firmicutes
Morococcus	Proteobacteria
Murdochiella	Actinobacteria
Mycobacterium	Actinobacteria
Mycobacteroides	Actinobacteria
Mycolicibacterium	Actinobacteria
Mycoplasma	Tenericutes
Necropsobacter	Proteobacteria
Negativibacillus	Firmicutes
Neglecta	incierto
Neisseria	Proteobacteria
Neofamilia	incierto
Odoribacter	Bacteroidetes
Olsenella	Actinobacteria
Oribacterium	Firmicutes
Oscillibacter	Firmicutes
Ottowia	Proteobacteria
Parabacteroides	Bacteroidetes
Paracoccus	Proteobacteria
Paraprevotella	Bacteroidetes
Parascardovia	Actinobacteria
Parasutterella	Proteobacteria
Parvimonas	Firmicutes
Pasteurella	Proteobacteria
Pedobacter	Bacteroidetes
Peptoanaerobacter	Firmicutes
Peptoniphilus	Firmicutes
Peptostreptococcus	Firmicutes
Petrimonas	Firmicutes
Phascolarctobacterium	Firmicutes
Phocaeicola	Bacteroidetes
Phocea	Proteobacteria
Polynucleobacter	Proteobacteria
Porphyromonas	Bacteroidetes
Prevotella	Bacteroidetes
Prevotellamassilia	Bacteroidetes
Propionibacterium	Actinobacteria
Pseudoflavonifractor	Firmicutes
Pseudomonas	Proteobacteria
Pseudopropionibacterium	Actinobacteria
Pseudoramibacter	Firmicutes
Psychrobacter	Proteobacteria
Pyramidobacter	Proteobacteria
Raoultella	Proteobacteria
Rikenella	Bacteroidetes
Robinsoniella	Firmicutes
Romboutsia	Firmicutes
Roseburia	Firmicutes
Rothia	Actinobacteria
Ruminococcus	Firmicutes
Ruthenibacterium	Firmicutes
Sanguibacteroides	Bacteroidetes
Scardovia	Actinobacteria
Selenomonas	Firmicutes
Sellimonas	Firmicutes
Senegalimassilia	Actinobacteria
Sharpea	Firmicutes
Shigella	Proteobacteria
Shuttleworthia	Firmicutes
Simonsiella	Proteobacteria
Sinorhizobium	Proteobacteria
Slackia	Actinobacteria
Sneathia	Fusobacteria
Solobacterium	Firmicutes
Staphylococcus	Firmicutes
Stomatobaculum	Firmicutes
Streptobacillus	Fusobacteria
Streptococcus	Firmicutes
Subdoligranulum	Firmicutes
Sutterella	Pseudomonadota
Tannerella	Bacteroidetes
Tepidiphilus	Proteobacteria
Thermosiphon	Thermotogae
Tidjanibacter	Firmicutes
Tissierella	Firmicutes
Traorella	Firmicutes
Treponema	Spirochaetes
Tyzzerella	Firmicutes
Urmitella	Firmicutes
Varibaculum	Actinobacteria
Veillonella	Firmicutes
Xanthomonas	Proteobacteria
